,Filename,Number,Output,Formula,# variables,v1_name,v1_low,v1_high,v2_name,v2_low,v2_high,v3_name,v3_low,v3_high,v4_name,v4_low,v4_high,v5_name,v5_low,v5_high,v6_name,v6_low,v6_high,v7_name,v7_low,v7_high,v8_name,v8_low,v8_high,v9_name,v9_low,v9_high,v10_name,v10_low,v10_high,Standardized_formula,AST_formula
80,II.35.21,81.0,M,n_rho*mom*tanh(mom*B/(kb*T)),5.0,n_rho,1.0,5.0,mom,1.0,5.0,B,1.0,5.0,kb,1.0,5.0,T,1.0,5.0,nan,,,nan,,,nan,,,nan,,,,,,x_0*x_1*tanh(x_1*x_2/(x_3*x_4)),"*,*,x_0,x_1,tanh,/,*,x_1,x_2,*,x_3,x_4"
81,II.36.38,82.0,f,mom*H/(kb*T)+(mom*alpha)/(epsilon*c**2*kb*T)*M,8.0,mom,1.0,3.0,H,1.0,3.0,kb,1.0,3.0,T,1.0,3.0,alpha,1.0,3.0,epsilon,1.0,3.0,c,1.0,3.0,M,1.0,3.0,nan,,,,,,x_0*x_1/(x_2*x_3)+(x_0*x_4)/(x_5*x_6**2*x_2*x_3)*x_7,"+,/,*,x_0,x_1,*,x_2,x_3,*,/,*,x_0,x_4,*,*,*,x_5,**,x_6,2,x_2,x_3,x_7"
82,II.37.1,83.0,E_n,mom*(1+chi)*B,6.0,mom,1.0,5.0,B,1.0,5.0,chi,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,,,,x_0*(1+x_2)*x_1,"*,*,x_0,+,1,x_2,x_1"
83,II.38.3,84.0,F,Y*A*x/d,4.0,Y,1.0,5.0,A,1.0,5.0,d,1.0,5.0,x,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,,,,x_3_0*x_3_1*x_3/x_3_2,"/,*,*,x_3_0,x_3_1,x_3,x_3_2"
84,II.38.14,85.0,mu_S,Y/(2*(1+sigma)),2.0,Y,1.0,5.0,sigma,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,,,,x_0/(2*(1+x_1)),"/,x_0,*,2,+,1,x_1"
85,III.4.32,86.0,n,1/(exp((h/(2*pi))*omega/(kb*T))-1),4.0,h,1.0,5.0,omega,1.0,5.0,kb,1.0,5.0,T,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,,,,1/(exp((x_0/(2*pi))*x_1/(x_2*x_3))-1),"/,1,-,exp,/,*,/,x_0,*,2,pi,x_1,*,x_2,x_3,1"
86,III.4.33,87.0,E_n,(h/(2*pi))*omega/(exp((h/(2*pi))*omega/(kb*T))-1),4.0,h,1.0,5.0,omega,1.0,5.0,kb,1.0,5.0,T,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,,,,(x_0/(2*pi))*x_1/(exp((x_0/(2*pi))*x_1/(x_2*x_3))-1),"/,*,/,x_0,*,2,pi,x_1,-,exp,/,*,/,x_0,*,2,pi,x_1,*,x_2,x_3,1"
87,III.7.38,88.0,omega,2*mom*B/(h/(2*pi)),3.0,mom,1.0,5.0,B,1.0,5.0,h,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,,,,2*x_0*x_1/(x_2/(2*pi)),"/,*,*,2,x_0,x_1,/,x_2,*,2,pi"
88,III.8.54,89.0,prob,sin(E_n*t/(h/(2*pi)))**2,3.0,E_n,1.0,2.0,t,1.0,2.0,h,1.0,4.0,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,,,,sin(x_0*x_1/(x_2/(2*pi)))**2,"**,sin,/,*,x_0,x_1,/,x_2,*,2,pi,2"
89,III.9.52,90.0,prob,(p_d*Ef*t/(h/(2*pi)))*sin((omega-omega_0)*t/2)**2/((omega-omega_0)*t/2)**2,6.0,p_d,1.0,3.0,Ef,1.0,3.0,t,1.0,3.0,h,1.0,3.0,omega,1.0,5.0,omega_0,1.0,5.0,nan,,,nan,,,nan,,,,,,(x_0*x_1*x_2/(x_3/(2*pi)))*sin((x_4-x_5)*x_2/2)**2/((x_4-x_5)*x_2/2)**2,"/,*,/,*,*,x_0,x_1,x_2,/,x_3,*,2,pi,**,sin,/,*,-,x_4,x_5,x_2,2,2,**,/,*,-,x_4,x_5,x_2,2,2"
90,III.10.19,91.0,E_n,mom*sqrt(Bx**2+By**2+Bz**2),3.0,mom,1.0,5.0,Bx,1.0,5.0,By,1.0,5.0,Bz,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,,,,x_0*sqrt(x_1**2+x_2**2+x_3**2),"*,x_0,sqrt,+,+,**,x_1,2,**,x_2,2,**,x_3,2"
91,III.12.43,92.0,L,n*(h/(2*pi)),2.0,n,1.0,5.0,h,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,,,,x_0*(x_1/(2*pi)),"*,x_0,/,x_1,*,2,pi"
92,III.13.18,93.0,v,2*E_n*d**2*k/(h/(2*pi)),4.0,E_n,1.0,5.0,d,1.0,5.0,k,1.0,5.0,h,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,,,,2*x_0*x_1**2*x_2/(x_3/(2*pi)),"/,*,*,*,2,x_0,**,x_1,2,x_2,/,x_3,*,2,pi"
93,III.14.14,94.0,I,I_0*(exp(q*Volt/(kb*T))-1),5.0,I_0,1.0,5.0,q,1.0,2.0,Volt,1.0,2.0,kb,1.0,2.0,T,1.0,2.0,nan,,,nan,,,nan,,,nan,,,,,,x_0*(exp(x_1*x_2/(x_3*x_4))-1),"*,x_0,-,exp,/,*,x_1,x_2,*,x_3,x_4,1"
94,III.15.12,95.0,E_n,2*U*(1-cos(k*d)),3.0,U,1.0,5.0,k,1.0,5.0,d,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,,,,2*x_0*(1-cos(x_1*x_2)),"*,*,2,x_0,-,1,cos,*,x_1,x_2"
95,III.15.14,96.0,m,(h/(2*pi))**2/(2*E_n*d**2),3.0,h,1.0,5.0,E_n,1.0,5.0,d,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,,,,(x_0/(2*pi))**2/(2*x_1*x_2**2),"/,**,/,x_0,*,2,pi,2,*,*,2,x_1,**,x_2,2"
96,III.15.27,97.0,k,2*pi*alpha/(n*d),3.0,alpha,1.0,5.0,n,1.0,5.0,d,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,,,,2*pi*x_0/(x_1*x_2),"/,*,*,2,pi,x_0,*,x_1,x_2"
97,III.17.37,98.0,f,beta*(1+alpha*cos(theta)),3.0,beta,1.0,5.0,alpha,1.0,5.0,theta,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,,,,x_0*(1+x_1*cos(x_2)),"*,x_0,+,1,*,x_1,cos,x_2"
98,III.19.51,99.0,E_n,-m*q**4/(2*(4*pi*epsilon)**2*(h/(2*pi))**2)*(1/n**2),4.0,m,1.0,5.0,q,1.0,5.0,h,1.0,5.0,n,1.0,5.0,epsilon,1.0,5.0,nan,,,nan,,,nan,,,nan,,,,,,-x_0*x_1**4/(2*(4*pi*x_4)**2*(x_2/(2*pi))**2)*(1/x_3**2),"*,/,*,u-,x_0,**,x_1,4,*,*,2,**,*,*,4,pi,x_4,2,**,/,x_2,*,2,pi,2,/,1,**,x_3,2"
99,III.21.20,100.0,j,-rho_c_0*q*A_vec/m,4.0,rho_c_0,1.0,5.0,q,1.0,5.0,A_vec,1.0,5.0,m,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,,,,-x_0*x_1*x_2/x_3,"/,*,*,u-,x_0,x_1,x_2,x_3"
